Name;Run;Objetive;OptimumEstimation
Evo3;1;1497;2442,7500000000005
Evo1;1;1600;2442,7500000000005
Evo2;1;1604;2442,7500000000005
Evo3;2;1550;2822,857142857143
Evo2;2;1553;2822,857142857143
Evo1;2;1521;2822,857142857143
Evo3;3;1794;2906,8
Evo2;3;1750;2906,8
Evo1;3;1721;2906,8
Evo3;4;1575;2867,166666666667
Evo2;4;1607;2867,166666666667
Evo1;4;1555;2867,166666666667
Evo2;5;1524;3197,5833333333335
Evo3;5;1486;3197,5833333333335
Evo1;5;1421;3197,5833333333335
