Name;Run;Objective;TotalOrders;HandledOrders;RejectedOrders;Runtime;
rnd_ins;1;679;43;19;9;18,391623;
OptimumEstimation;1;1086,8332635;OPTIMAL
rnd_ins;2;585;59;16;30;21,168821;
OptimumEstimation;2;1530,749437;OPTIMAL
rnd_ins;3;572;60;20;26;29,8121797;
OptimumEstimation;3;1324,3329723333334;OPTIMAL
rnd_ins;4;577;63;21;27;31,1743367;
OptimumEstimation;4;1431,8327233333334;OPTIMAL
rnd_ins;5;551;56;20;21;35,2134244;
OptimumEstimation;5;1204,5232172857143;OPTIMAL
evo_mutations;1;812;43;19;4;184,155534;
evo_randomized;1;793;43;17;4;206,052042;
evo_directed;1;799;43;19;3;210,889819;
evo_bestfit;1;821;43;19;4;223,4425152;
evo_mutations;2;825;59;17;15;173,4216347;
evo_randomized;2;817;59;18;14;217,1886044;
evo_directed;2;818;59;18;14;217,0646315;
evo_bestfit;2;818;59;18;14;230,665363;
evo_mutations;3;678;60;22;7;183,1411402;
evo_randomized;3;664;60;19;10;230,1724256;
evo_directed;3;650;60;21;8;236,4873898;
evo_bestfit;3;707;60;21;8;247,6747624;
evo_mutations;4;838;63;21;11;190,6755326;
evo_randomized;4;769;63;22;11;237,7545282;
evo_mutations;5;767;56;18;15;173,857055;
evo_directed;4;766;63;20;11;253,31156;
evo_bestfit;4;810;63;21;11;255,3902559;
evo_randomized;5;712;56;18;15;157,9833482;
evo_directed;5;715;56;18;13;161,7530741;
evo_bestfit;5;737;56;18;14;147,3431367;
